tweet_id,retweet_count,favorite_count,create_date
822647212903690241,7390,0,2017-01-21 03:29:14+00:00
822610361945911296,3423,16327,2017-01-21 01:02:48+00:00
822489057087389700,7390,20083,2017-01-20 17:00:46+00:00
822462944365645825,17209,31800,2017-01-20 15:17:01+00:00
822244816520155136,11421,38832,2017-01-20 00:50:15+00:00
822163064745328640,5571,0,2017-01-19 19:25:24+00:00
821886076407029760,2692,12582,2017-01-19 01:04:45+00:00
821813639212650496,3839,0,2017-01-18 20:16:54+00:00
821765923262631936,1899,9317,2017-01-18 17:07:18+00:00
821522889702862852,2030,8871,2017-01-18 01:01:34+00:00
821421320206483457,6470,0,2017-01-17 18:17:58+00:00
821407182352777218,5053,13075,2017-01-17 17:21:47+00:00
821153421864615936,10,280,2017-01-17 00:33:26+00:00
821149554670182400,2320,9718,2017-01-17 00:18:04+00:00
821107785811234820,2487,10645,2017-01-16 21:32:06+00:00
821044531881721856,2636,14021,2017-01-16 17:20:45+00:00
820837357901512704,7733,0,2017-01-16 03:37:31+00:00
820749716845686786,11525,34984,2017-01-15 21:49:15+00:00
820690176645140481,3716,13518,2017-01-15 17:52:40+00:00
820494788566847489,648,0,2017-01-15 04:56:16+00:00
820446719150292993,2980,0,2017-01-15 01:45:15+00:00
820314633777061888,648,3706,2017-01-14 17:00:24+00:00
820078625395449857,7246,21979,2017-01-14 01:22:35+00:00
820013781606658049,1369,0,2017-01-13 21:04:55+00:00
819952236453363712,1369,5927,2017-01-13 17:00:21+00:00
819924195358416896,5607,14305,2017-01-13 15:08:56+00:00
819711362133872643,3604,14916,2017-01-13 01:03:12+00:00
819588359383371776,2271,10606,2017-01-12 16:54:26+00:00
819347104292290561,1383,8008,2017-01-12 00:55:47+00:00
819238181065359361,462,2550,2017-01-11 17:42:57+00:00
819227688460238848,7733,25652,2017-01-11 17:01:16+00:00
819015337530290176,42228,0,2017-01-11 02:57:27+00:00
819015331746349057,21794,0,2017-01-11 02:57:26+00:00
819006400881917954,21794,49960,2017-01-11 02:21:57+00:00
819004803107983360,42228,95450,2017-01-11 02:15:36+00:00
818646164899774465,24069,0,2017-01-10 02:30:30+00:00
818627210458333184,8564,24597,2017-01-10 01:15:10+00:00
818614493328580609,2982,10971,2017-01-10 00:24:38+00:00
818588835076603904,7126,0,2017-01-09 22:42:41+00:00
818536468981415936,2873,12127,2017-01-09 19:14:36+00:00
818307523543449600,9366,0,2017-01-09 04:04:51+00:00
818259473185828864,2621,12197,2017-01-09 00:53:55+00:00
